"left";"tipo_anexo";"count"
"13430";Tanques_Tipo_40;5
"15761";Piscinas_Tipo_50;4
"23555";Piscinas_Tipo_40;9
"15798";Marquesinas_Tipo_60;1
"15325";Piscinas_Tipo_40;1
"15686";Marquesinas_Tipo_60;1
"13836";Cocheras_Marraneras_Porquerizas_Tipo_20;8
"63401";Secaderos_Tipo_40;14
"15835";Corrales_Tipo_80;1
"66318";Beneficiaderos_Tipo_80;3
"25772";Tanques_Tipo_60;5
"23350";Corrales_Tipo_60;2
"15469";Kioskos_Tipo_80;9
"68745";Galpones_Gallineros_Tipo_80;1
"25183";Marquesinas_Tipo_20;24
"15299";Kioskos_Tipo_60;1
"15599";Establos_Pesebreras_Tipo_20;1
"66383";Secaderos_Tipo_60;93
"66045";Cimientos_Estructura_Muros_Placabase_Tipo_40;1
"63401";Cimientos_Estructura_Muros_Placabase_Tipo_80;26
"25183";Cocheras_Marraneras_Porquerizas_Tipo_60;8
"15764";Cocheras_Marraneras_Porquerizas_Tipo_40;1
"15469";Piscinas_Tipo_60;26
"08832";Piscinas_Tipo_50;147
"66318";Establos_Pesebreras_Tipo_60;15
"68745";Establos_Pesebreras_Tipo_60;6
"25001";Beneficiaderos_Tipo_40;1
"23570";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"50313";Marquesinas_Tipo_20;1
"25772";Tanques_Tipo_40;2
"68179";Cocheras_Marraneras_Porquerizas_Tipo_40;2
"68101";Kioskos_Tipo_20;1
"66045";Kioskos_Tipo_60;4
"25001";Kioskos_Tipo_40;31
"23350";Piscinas_Tipo_50;3
"13836";Establos_Pesebreras_Tipo_20;8
"15325";Kioskos_Tipo_40;3
"66383";Cimientos_Estructura_Muros_Placabase_Tipo_60;1
"15299";Kioskos_Tipo_40;1
"50313";Corrales_Tipo_80;4
"68745";Kioskos_Tipo_40;5
"23675";Tanques_Tipo_20;17
"25772";Marquesinas_Tipo_20;14
"23675";Kioskos_Tipo_40;184
"25183";Establos_Pesebreras_Tipo_60;34
"23555";Albercas_Baniaderas_Tipo_40;2
"15861";Tanques_Tipo_60;1
"15469";Tanques_Tipo_20;1
"15835";Establos_Pesebreras_Tipo_80;1
"08832";Pozos_Tipo_40;2
"25295";Pozos_Tipo_60;1
"15293";Marquesinas_Tipo_60;1
"15469";Establos_Pesebreras_Tipo_20;10
"23079";Tanques_Tipo_60;3
"13430";Corrales_Tipo_40;237
"25183";Galpones_Gallineros_Tipo_40;18
"66045";Marquesinas_Tipo_40;1
"15835";Tanques_Tipo_40;1
"25183";Establos_Pesebreras_Tipo_20;11
"15299";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"23555";Albercas_Baniaderas_Tipo_80;1
"15189";Cocheras_Marraneras_Porquerizas_Tipo_60;3
"25001";Establos_Pesebreras_Tipo_40;9
"15835";Cocheras_Marraneras_Porquerizas_Tipo_40;21
"15469";Secaderos_Tipo_40;6
"63401";Cimientos_Estructura_Muros_Placabase_Tipo_20;10
"68861";Establos_Pesebreras_Tipo_60;12
"25772";Marquesinas_Tipo_80;2
"63401";Corrales_Tipo_60;22
"23350";Cocheras_Marraneras_Porquerizas_Tipo_20;3
"63401";Galpones_Gallineros_Tipo_20;26
"15764";Marquesinas_Tipo_20;2
"68745";Corrales_Tipo_40;22
"23350";Establos_Pesebreras_Tipo_20;1
"66045";Kioskos_Tipo_40;4
"25295";Cocheras_Marraneras_Porquerizas_Tipo_20;1
"25001";Cocheras_Marraneras_Porquerizas_Tipo_80;1
"25001";Cocheras_Marraneras_Porquerizas_Tipo_60;7
"23570";Galpones_Gallineros_Tipo_20;4
"15380";Tanques_Tipo_40;1
"08832";Albercas_Baniaderas_Tipo_40;25
"50313";Cocheras_Marraneras_Porquerizas_Tipo_40;19
"63401";Beneficiaderos_Tipo_60;41
"66045";Beneficiaderos_Tipo_60;80
"23570";Corrales_Tipo_40;325
"50313";Kioskos_Tipo_60;23
"13430";Piscinas_Tipo_80;1
"66687";Beneficiaderos_Tipo_40;528
