"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"divipola";"vereda";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente";"uit - asignación"
1495705;"607825";9;9;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-122510";"08832";"08832040000000075";FMI_Debe_Estar_Cerrado;"088320400000000750008000000000";Cancelacion_por_Desenglobe;;;;;;;NO APLICA
1139838;"608837";8;8;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214573";"08832";"08832040000000259";;"088320400000002590003000000000";Cancelacion_por_Englobe;;;;;;;NO APLICA
1286798;"608838";5;5;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214574";"08832";"08832040000000259";;"088320400000002590004000000000";Cancelacion_por_Englobe;;;;;;;NO APLICA
1333833;"608848";6;6;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214584";"08832";"08832040000000259";;"088320400000002590014000000000";Cancelacion_por_Englobe;;;;;;;NO APLICA
1464067;"608849";7;7;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214585";"08832";"08832040000000259";;"088320400000002590015000000000";Cancelacion_por_Englobe;;;;;;;NO APLICA
1646337;L10_3;4;4;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214573";"08832";"08832040000000259";;"088320400000002590003000000000";Englobe_Nuevo_FMI;"040-319240";Privado_Privado;NPH;"429";;;NO APLICA
1646337;L10_3;1;1;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214574";"08832";"08832040000000259";;"088320400000002590004000000000";Englobe_Nuevo_FMI;"040-319240";Privado_Privado;NPH;"429";;;NO APLICA
1646337;L10_3;3;3;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214585";"08832";"08832040000000259";;"088320400000002590015000000000";Englobe_Nuevo_FMI;"040-319240";Privado_Privado;NPH;"429";;;NO APLICA
1646337;L10_3;2;2;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-214584";"08832";"08832040000000259";;"088320400000002590014000000000";Englobe_Nuevo_FMI;"040-319240";Privado_Privado;NPH;"429";;;NO APLICA
1320225;"603442";17;17;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";FMI_Debe_Estar_Abierto;"088320002000000010080000000000";Cambio_Numero_Predial_NPH_a_Condominio;"040-503998";Privado_Privado;Condominio_Matriz;"403063.2";;;NO APLICA
1646562;L10_241;241;241;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";;"088320002000000010080000000000";Desenglobe_Venta_Parcial;"040-601265";Privado_Privado;Condominio_Unidad_Predial;"490.28";0.49;"490.28";NO APLICA
1646561;L10_240;240;240;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";;"088320002000000010080000000000";Desenglobe_Venta_Parcial;"040-601266";Privado_Privado;Condominio_Unidad_Predial;"384";0.39;"384";NO APLICA
1646560;L10_239;239;239;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";;"088320002000000010080000000000";Desenglobe_Venta_Parcial;"040-601267";Privado_Privado;Condominio_Unidad_Predial;"384";0.39;"384";NO APLICA
1646559;L10_238;238;238;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";;"088320002000000010080000000000";Desenglobe_Venta_Parcial;"040-601268";Privado_Privado;Condominio_Unidad_Predial;"384";0.39;"384";NO APLICA
1646498;L10_176;176;176;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";;"088320002000000010080000000000";Desenglobe_Venta_Parcial;"040-601269";Privado_Privado;Condominio_Unidad_Predial;"384";0.39;"384";NO APLICA
1646497;L10_175;175;175;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";;"088320002000000010080000000000";Desenglobe_Venta_Parcial;"040-601270";Privado_Privado;Condominio_Unidad_Predial;"384";0.39;"384";NO APLICA
1646496;L10_174;174;174;ATLÁNTICO;TUBARÁ;"10/11/2025";"040-503998";"08832";"08832000200000001";;"088320002000000010080000000000";Desenglobe_Venta_Parcial;"040-601271";Privado_Privado;Condominio_Unidad_Predial;"384";0.39;"384";NO APLICA
