"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"divipola";"vereda";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1530798;"1104709";57;57;BOLÍVAR;TURBACO;"12/11/2025";"060-113661";"13836";"13836010100000309";;"138360101000003090010000000000";Cancelacion_por_Englobe;;;;;;
1304146;"1104710";58;58;BOLÍVAR;TURBACO;"12/11/2025";"060-113662";"13836";"13836010100000309";;"138360101000003090011000000000";Cancelacion_por_Englobe;;;;;;
1368640;"1116447";62;62;BOLÍVAR;TURBACO;"12/11/2025";"060-218540";"13836";"13836010300000177";;"138360103000001770015000000000";Cancelacion_por_Englobe;;;;;;
1499642;"1116448";63;63;BOLÍVAR;TURBACO;"12/11/2025";"060-218541";"13836";"13836010300000177";;"138360103000001770016000000000";Cancelacion_por_Englobe;;;;;;
1142706;"1116449";64;64;BOLÍVAR;TURBACO;"12/11/2025";"060-218542";"13836";"13836010300000177";;"138360103000001770017000000000";Cancelacion_por_Englobe;;;;;;
1649186;L11_59;61;61;BOLÍVAR;TURBACO;"12/11/2025";"060-218542";"13836";"13836010300000177";;"138360103000001770017000000000";Englobe_Nuevo_FMI;"060-263634";Privado_Privado;NPH;"294";;
1649186;L11_59;60;60;BOLÍVAR;TURBACO;"12/11/2025";"060-218541";"13836";"13836010300000177";;"138360103000001770016000000000";Englobe_Nuevo_FMI;"060-263634";Privado_Privado;NPH;"294";;
1649186;L11_59;59;59;BOLÍVAR;TURBACO;"12/11/2025";"060-218540";"13836";"13836010300000177";;"138360103000001770015000000000";Englobe_Nuevo_FMI;"060-263634";Privado_Privado;NPH;"294";;
1649188;L11_55;56;56;BOLÍVAR;TURBACO;"12/11/2025";"060-113662";"13836";"13836010100000309";;"138360101000003090011000000000";Englobe_Nuevo_FMI;"060-321701";Privado_Privado;NPH;"361.9";;
1649188;L11_55;55;55;BOLÍVAR;TURBACO;"12/11/2025";"060-113661";"13836";"13836010100000309";;"138360101000003090010000000000";Englobe_Nuevo_FMI;"060-321701";Privado_Privado;NPH;"361.9";;
1649682;L11_403;403;403;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-10109";Privado_Privado;NPH;;;
1649535;L11_550;550;550;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-10285";Privado_Privado;NPH;;;
1649681;L11_404;404;404;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-10354";Privado_Privado;NPH;;;
1649508;L11_577;577;577;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-10582";Privado_Privado;NPH;;;
1649680;L11_405;405;405;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-10704";Privado_Privado;NPH;;;
1649679;L11_406;406;406;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-11223";Privado_Privado;NPH;;;
1649678;L11_407;407;407;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-11241";Privado_Privado;NPH;;;
1649677;L11_408;408;408;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-11310";Privado_Privado;NPH;;;
1649676;L11_409;409;409;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-11321";Privado_Privado;NPH;;;
1649534;L11_551;551;551;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-11433";Privado_Privado;NPH;;;
1236908;"942976";278;278;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-11629";"13430";"13430010100000080";;"134300101000000800005000000000";Cancelacion_por_Desenglobe;;;;;;
1649675;L11_410;410;410;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-11726";Privado_Privado;NPH;;;
1649533;L11_552;552;552;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12034";Privado_Privado;NPH;;;
1649674;L11_411;411;411;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12120";Privado_Privado;NPH;;;
1649673;L11_412;412;412;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12125";Privado_Privado;NPH;;;
1649672;L11_413;413;413;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12215";Privado_Privado;NPH;;;
1649671;L11_414;414;414;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12570";Privado_Privado;NPH;;;
1649532;L11_553;553;553;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12745";Privado_Privado;NPH;;;
1649670;L11_415;415;415;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12766";Privado_Privado;NPH;;;
1649669;L11_416;416;416;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-12947";Privado_Privado;NPH;;;
1649531;L11_554;554;554;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-13220";Privado_Privado;NPH;;;
1649668;L11_417;417;417;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-13329";Privado_Privado;NPH;;;
1237172;"948164";288;288;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-13637";"13430";"13430010100000410";;"134300101000004100031000000000";Cancelacion_por_Desenglobe;;;;;;
1649530;L11_555;555;555;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-13661";Privado_Privado;NPH;;;
1649529;L11_556;556;556;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-13698";Privado_Privado;NPH;;;
1649667;L11_418;418;418;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-13819";Privado_Privado;NPH;;;
1649666;L11_419;419;419;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-13872";Privado_Privado;NPH;;;
1649665;L11_420;420;420;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-14174";Privado_Privado;NPH;;;
1649664;L11_421;421;421;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-14367";Privado_Privado;NPH;;;
1649663;L11_422;422;422;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-14512";Privado_Privado;NPH;;;
1649662;L11_423;423;423;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-14571";Privado_Privado;NPH;;;
1649661;L11_424;424;424;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-1474";Privado_Privado;NPH;;;
1649660;L11_425;425;425;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-15288";Privado_Privado;NPH;;;
1649659;L11_426;426;426;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-15305";Privado_Privado;NPH;;;
1649658;L11_427;427;427;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-15749";Privado_Privado;NPH;;;
1649657;L11_428;428;428;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-15812";Privado_Privado;NPH;;;
1649656;L11_429;429;429;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-16232";Privado_Privado;NPH;;;
1649655;L11_430;430;430;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-16273";Privado_Privado;NPH;;;
1649654;L11_431;431;431;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-16329";Privado_Privado;NPH;;;
1649653;L11_432;432;432;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-16376";Privado_Privado;NPH;;;
1649652;L11_433;433;433;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-17326";Privado_Privado;NPH;;;
1649651;L11_434;434;434;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-17570";Privado_Privado;NPH;;;
1649650;L11_435;435;435;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-17875";Privado_Privado;NPH;;;
1649528;L11_557;557;557;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-17940";Privado_Privado;NPH;;;
1649649;L11_436;436;436;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-18010";Privado_Privado;NPH;;;
1649648;L11_437;437;437;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-18271";Privado_Privado;NPH;;;
1649527;L11_558;558;558;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-18443";Privado_Privado;NPH;;;
1649647;L11_438;438;438;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-18569";Privado_Privado;NPH;;;
1649646;L11_439;439;439;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-18687";Privado_Privado;NPH;;;
1649645;L11_440;440;440;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-1883";Privado_Privado;NPH;;;
1649644;L11_441;441;441;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-1887";Privado_Privado;NPH;;;
1649507;L11_578;578;578;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-18941";Privado_Privado;NPH;;;
1649643;L11_442;442;442;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-1927";Privado_Privado;NPH;;;
1649642;L11_443;443;443;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-19433";Privado_Privado;NPH;;;
1649641;L11_444;444;444;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-19453";Privado_Privado;NPH;;;
1237347;"13261347";335;335;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-19713";"13430";"13430010100000677";;"134300101000006770063000000000";Cancelacion_por_Desenglobe;;;;;;
1649640;L11_445;445;445;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-19875";Privado_Privado;NPH;;;
1649639;L11_446;446;446;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-20016";Privado_Privado;NPH;;;
1649638;L11_447;447;447;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-20247";Privado_Privado;NPH;;;
1649637;L11_448;448;448;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-20248";Privado_Privado;NPH;;;
1649352;L11_336;336;336;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-19713";"13430";"13430010100000677";;"134300101000006770063000000000";Desenglobe_Division_Material;"064-20425";Privado_Privado;NPH;;;
1649351;L11_337;337;337;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-19713";"13430";"13430010100000677";;"134300101000006770063000000000";Desenglobe_Division_Material;"064-20426";Privado_Privado;NPH;;;
