id_operacion;id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente
1097178;661;661;BOLÍVAR;TURBACO;29/09/2025;060-317548;FMI_Debe_Estar_Abierto;1,3836E+29;Cambio_Numero_Predial_NPH_a_PH;060-317548;Privado_Privado;PH_Matriz;326848;;
13493561;550;550;BOYACÁ;MONIQUIRA;29/09/2025;083-44025;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
13493569;544;544;BOYACÁ;MONIQUIRA;29/09/2025;083-44023;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
13493620;576;576;BOYACÁ;MONIQUIRA;29/09/2025;083-44074;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
13494577;618;618;BOYACÁ;MONIQUIRA;29/09/2025;083-44105;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
13510437;222;222;BOYACÁ;SOGAMOSO;29/09/2025;095-139419;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-139419;Privado_Privado;PH_Matriz;135;;
13513294;309;309;BOYACÁ;SOGAMOSO;29/09/2025;095-150394;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-150394;Privado_Privado;PH_Matriz;160.34;;
13513299;278;278;BOYACÁ;SOGAMOSO;29/09/2025;095-144267;;1,5759E+29;Cancelacion_por_Englobe;;;;;;
13513328;276;276;BOYACÁ;SOGAMOSO;29/09/2025;095-154026;;1,5759E+29;Cancelacion_por_Englobe;;;;;;
13513329;277;277;BOYACÁ;SOGAMOSO;29/09/2025;095-154027;;1,5759E+29;Cancelacion_por_Englobe;;;;;;
13514760;327;327;BOYACÁ;SOGAMOSO;29/09/2025;095-154021;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-154021;Privado_Privado;PH_Matriz;146,76 ;;
13515217;108;108;BOYACÁ;SOGAMOSO;29/09/2025;095-140213;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-140213;Privado_Privado;PH_Matriz;84.66;;
13515366;387;387;BOYACÁ;SOGAMOSO;29/09/2025;095-123450;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
13516703;320;320;BOYACÁ;SOGAMOSO;29/09/2025;095-150440;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
13518118;233;233;BOYACÁ;SOGAMOSO;29/09/2025;095-126737;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
13520183;202;202;BOYACÁ;SOGAMOSO;29/09/2025;095-141029;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-141029;Privado_Privado;PH_Matriz;153.5;;
13522257;95;95;BOYACÁ;SOGAMOSO;29/09/2025;095-142985;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-142985;Privado_Privado;PH_Matriz;89.7;;
13522273;221;221;BOYACÁ;SOGAMOSO;29/09/2025;095-149093;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
13523104;234;234;BOYACÁ;SOGAMOSO;29/09/2025;095-105171;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-105171;Privado_Privado;PH_Matriz;350;;
13523146;367;367;BOYACÁ;SOGAMOSO;29/09/2025;095-123436;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
13524019;372;372;BOYACÁ;SOGAMOSO;29/09/2025;095-124309;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
13525464;193;193;BOYACÁ;SOGAMOSO;29/09/2025;095-15693;FMI_Debe_Estar_Cerrado;1,5759E+29;Cancelacion_por_Englobe;;;;;;
