"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente";"field15"
1643801;L8_1470;1470;1470;ATLÁNTICO;TUBARÁ;2025-10-31;"040-138578";FMI_Debe_Estar_Cerrado;"088320003000000010092000000000";Cancelacion_por_Desenglobe;;;;;;;
1236761;"608799";1604;1604;ATLÁNTICO;TUBARÁ;2025-10-31;"040-240459";;"088320400000002500006000000000";Cancelacion_por_Desenglobe;;;;;;;
1385501;"603340";1540;1540;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Cancelacion_por_Desenglobe;;;;;;;
1644241;L8_1551;1551;1551;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321204";Privado_Privado;NPH;"77";;;
1644240;L8_1550;1550;1550;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321205";Privado_Privado;NPH;"77";;;
1644243;L8_1549;1549;1549;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321206";Privado_Privado;NPH;"77";;;
1644242;L8_1548;1548;1548;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321207";Privado_Privado;NPH;"77";;;
1644248;L8_1547;1547;1547;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321208";Privado_Privado;NPH;"77";;;
1644244;L8_1546;1546;1546;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321209";Privado_Privado;NPH;"77";;;
1644245;L8_1545;1545;1545;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321210";Privado_Privado;NPH;"77";;;
1644246;L8_1544;1544;1544;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321211";Privado_Privado;NPH;"77";;;
1644238;L8_1543;1543;1543;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321212";Privado_Privado;NPH;"77";;;
1644247;L8_1542;1542;1542;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321213";Privado_Privado;NPH;"77";;;
1644239;L8_1541;1541;1541;ATLÁNTICO;TUBARÁ;2025-10-31;"040-302986";;"088320001000000010305000000000";Desenglobe_Division_Material;"040-321214";Privado_Privado;NPH;"652";;;
1644237;L8_1607;1607;1607;ATLÁNTICO;TUBARÁ;2025-10-31;"040-240459";;"088320400000002500006000000000";Desenglobe_Division_Material;"040-328373";Privado_Privado;NPH;"495";;;
1644236;L8_1606;1606;1606;ATLÁNTICO;TUBARÁ;2025-10-31;"040-240459";;"088320400000002500006000000000";Desenglobe_Division_Material;"040-328374";Privado_Privado;NPH;"495";;;
1644235;L8_1605;1605;1605;ATLÁNTICO;TUBARÁ;2025-10-31;"040-240459";;"088320400000002500006000000000";Desenglobe_Division_Material;"040-328375";Privado_Privado;NPH;"489";;;
1464028;"608259";1579;1579;ATLÁNTICO;TUBARÁ;2025-10-31;"040-355868";;"088320400000001100003000000000";Cancelacion_por_Englobe;;;;;;;
1320286;"604244";1476;1476;ATLÁNTICO;TUBARÁ;2025-10-31;"040-389104";;"088320003000000010917000000000";Cancelacion_por_Desenglobe;;;;;;;
1495771;"608885";1552;1552;ATLÁNTICO;TUBARÁ;2025-10-31;"040-444763";FMI_Debe_Estar_Cerrado;"088320400000002770003000000000";Cancelacion_por_Desenglobe;;;;;;;
1158308;"603429";1482;1482;ATLÁNTICO;TUBARÁ;2025-10-31;"040-476336";;"088320002000000010066000000000";Cancelacion_por_Englobe;;;;;;;
1122152;"12339267";1481;1481;ATLÁNTICO;TUBARÁ;2025-10-31;"040-477339";;"088320002000000010865000000000";Cancelacion_por_Englobe;;;;;;;
1644232;L8_1475;1475;1475;ATLÁNTICO;TUBARÁ;2025-10-31;"040-138578";;"088320003000000010092000000000";Desenglobe_Division_Material;"040-478674 ";Privado_Privado;NPH;"4432.7299999999996";;;
1644228;L8_1474;1474;1474;ATLÁNTICO;TUBARÁ;2025-10-31;"040-138578";;"088320003000000010092000000000";Desenglobe_Division_Material;"040-478675";Privado_Privado;NPH;"5443,25";;;
1644229;L8_1473;1473;1473;ATLÁNTICO;TUBARÁ;2025-10-31;"040-138578";;"088320003000000010092000000000";Desenglobe_Division_Material;"040-478676";Privado_Privado;NPH;"33913.449999999997";;;
1644230;L8_1472;1472;1472;ATLÁNTICO;TUBARÁ;2025-10-31;"040-138578";;"088320003000000010092000000000";Desenglobe_Division_Material;"040-478677";Privado_Privado;NPH;"5443.25";;;
1644231;L8_1471;1471;1471;ATLÁNTICO;TUBARÁ;2025-10-31;"040-138578";;"088320003000000010092000000000";Desenglobe_Division_Material;"040-478678";Privado_Privado;NPH;"50336.36";;;
1418976;"604546";1599;1599;ATLÁNTICO;TUBARÁ;2025-10-31;"040-481729";;"088320003000000011227000000000";Cancelacion_por_Desenglobe;;;;;;;
1385611;"12339358";1595;1595;ATLÁNTICO;TUBARÁ;2025-10-31;"040-498847";;"088320003000000011344000000000";Cancelacion_por_Desenglobe;;;;;;;
1482099;"12339359";1616;1616;ATLÁNTICO;TUBARÁ;2025-10-31;"040-498848";;"088320003000000011345000000000";Cancelacion_por_Desenglobe;;;;;;;
1037183;"12340352";1608;1608;ATLÁNTICO;TUBARÁ;2025-10-31;"040-503967";;"088320003000000012878000000000";Cancelacion_por_Desenglobe;;;;;;;
1189985;"12658038";1590;1590;ATLÁNTICO;TUBARÁ;2025-10-31;"040-536574";;"088320003000000012924000000000";Cancelacion_por_Desenglobe;;;;;;;
1643839;L8_1484;1484;1484;ATLÁNTICO;TUBARÁ;2025-10-31;"040-476336";;"088320002000000010066000000000";Englobe_Nuevo_FMI;"040-587368";Privado_Privado;NPH;"75000";;;
1643839;L8_1484;1483;1483;ATLÁNTICO;TUBARÁ;2025-10-31;"040-477339";;"088320002000000010865000000000";Englobe_Nuevo_FMI;"040-587368";Privado_Privado;NPH;"75000";;;
1644318;L8_1508;1508;1508;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587370";Privado_Privado;NPH;"500";;;
1644319;L8_1507;1507;1507;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587371";Privado_Privado;NPH;"500";;;
1644320;L8_1506;1506;1506;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587372";Privado_Privado;NPH;"500";;;
1644321;L8_1505;1505;1505;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587373";Privado_Privado;NPH;"500";;;
1644322;L8_1504;1504;1504;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587374";Privado_Privado;NPH;"478,40";;;
1644323;L8_1503;1503;1503;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587375";Privado_Privado;NPH;"2373.8000000000002";;;
1644324;L8_1502;1502;1502;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587376";Privado_Privado;NPH;"500";;;
1644325;L8_1501;1501;1501;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587377";Privado_Privado;NPH;"544";;;
1644326;L8_1500;1500;1500;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587378";Privado_Privado;NPH;"500";;;
1644327;L8_1499;1499;1499;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587379";Privado_Privado;NPH;"500";;;
1644328;L8_1498;1498;1498;ATLÁNTICO;TUBARÁ;2025-10-31;"040-587368";;SIN NPN;Desenglobe_Venta_Parcial;"040-587380";Privado_Privado;NPH;"500";;;
