"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"divipola";"vereda";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1288265;"604604";15;15;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-22113";"08832";"08832000400000001";;"088320004000000010037000000000";Cancelacion_por_Englobe;;;;;;
1528716;"608766";22;22;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-240463";"08832";"08832040000000248";;"088320400000002480006000000000";Cancelacion_por_Desenglobe;;;;;;
1064555;"604607";14;14;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-35754";"08832";"08832000400000001";;"088320004000000010040000000000";Cancelacion_por_Englobe;;;;;;
1645853;L9_13;16;16;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-382496";"08832";"08832000400000001";;"088320004000000010041000000000";Cancelacion_por_Englobe;;;;;;
1645852;L9_16;16;16;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-382496";"08832";"08832000400000001";;"088320004000000010041000000000";Cancelacion_por_Englobe;;;;;;
1645866;L9_12;12;12;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-22113";"08832";"08832000400000001";;"088320004000000010037000000000";Englobe_Nuevo_FMI;"040-536846";Privado_Privado;NPH;"375.32";;
1645866;L9_12;13;13;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-382496";"08832";"08832000400000001";;"088320004000000010041000000000";Englobe_Nuevo_FMI;"040-536846";Privado_Privado;NPH;"375.32";;
1645866;L9_12;11;11;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-35754";"08832";"08832000400000001";;"088320004000000010040000000000";Englobe_Nuevo_FMI;"040-536846";Privado_Privado;NPH;"375.32";;
1646109;L9_21;21;21;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-554792";"08832";"08832000100000001";;"088320001000000010344000000000";Desenglobe_Venta_Parcial;"040-625780";Privado_Privado;NPH;"10000";;
1646110;L9_20;20;20;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-554792";"08832";"08832000100000001";;"088320001000000010344000000000";Desenglobe_Venta_Parcial;"040-625781";Privado_Privado;NPH;"10000";;
1646111;L9_19;19;19;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-554792";"08832";"08832000100000001";;"088320001000000010344000000000";Desenglobe_Venta_Parcial;"040-625782";Privado_Privado;NPH;"10961.24";;
1646112;L9_18;18;18;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-554792";"08832";"08832000100000001";;"088320001000000010344000000000";Desenglobe_Venta_Parcial;"040-625783";Privado_Privado;NPH;"400";;
1646113;L9_17;17;17;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-554792";"08832";"08832000100000001";;"088320001000000010344000000000";Desenglobe_Venta_Parcial;"040-625784";Privado_Privado;NPH;"1138.76";;
1646244;L9_24;24;24;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-240463";"08832";"08832040000000248";;"088320400000002480006000000000";Desenglobe_Division_Material;"040-631656";Privado_Privado;NPH;"205.5";;
1646243;L9_25;25;25;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-240463";"08832";"08832040000000248";;"088320400000002480006000000000";Desenglobe_Division_Material;"040-631657";Privado_Privado;NPH;"420";;
1646245;L9_23;23;23;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-240463";"08832";"08832040000000248";;"088320400000002480006000000000";Desenglobe_Division_Material;"040-631658";Privado_Privado;NPH;"682.5";;
1107110;"608295";10;10;ATLÁNTICO;TUBARÁ;"05/11/2025";"040-86617";"08832";;FMI_Debe_Estar_Cerrado;;;;;;;;
1434488;"1106449";31;31;BOLÍVAR;TURBACO;"05/11/2025";"060-148541";"13836";"13836010100000402";;"138360101000004020022000000000";Cambio_Numero_Predial_NPH_a_PH;"060-148541";Privado_Privado;PH_Matriz;"192";;
1304668;"1113770";36;36;BOLÍVAR;TURBACO;"05/11/2025";"060-166968";"13836";"13836010200000391";;"138360102000003910004000000000";Cambio_Numero_Predial_NPH_a_PH;"060-166968";Privado_Privado;PH_Matriz;"148.48";;
1206716;"1107495";41;41;BOLÍVAR;TURBACO;"05/11/2025";"060-168441";"13836";"13836010100000463";FMI_Debe_Estar_Cerrado;"138360101000004630013000000000";Cancelacion_por_Desenglobe;;;;;;
1051276;"1107626";44;44;BOLÍVAR;TURBACO;"05/11/2025";"060-168594";"13836";"13836010100000472";;"138360101000004720004000000000";Cambio_Numero_Predial_NPH_a_PH;"060-168594";Privado_Privado;PH_Matriz;"140";;
1216235;"1116218";49;49;BOLÍVAR;TURBACO;"05/11/2025";"060-214495";"13836";"13836000100000003";;"138360001000000030788000000000";Cambio_Numero_Predial_NPH_a_PH;"060-215336";Privado_Privado;PH_Matriz;"196";;
1546122;"1115422";54;54;BOLÍVAR;TURBACO;"05/11/2025";"060-218455";"13836";"13836010300000125";;"138360103000001250026000000000";Cambio_Numero_Predial_NPH_a_PH;"060-218455";Privado_Privado;PH_Matriz;"98";;
1141852;"13280515";59;59;BOLÍVAR;TURBACO;"05/11/2025";"060-242051";"13836";"13836010100000293";;"138360101000002930023000000000";Cambio_Numero_Predial_NPH_a_PH;"060-242051";Privado_Privado;PH_Matriz;"143.5";;"143.5"
1367847;"1105296";79;79;BOLÍVAR;TURBACO;"05/11/2025";"060-242052";"13836";"13836010100000334";;"138360101000003340013000000000";Cancelacion_por_Englobe;;;;;;
1434438;"13280605";80;80;BOLÍVAR;TURBACO;"05/11/2025";"060-242053";"13836";"13836010100000334";;"138360101000003340029000000000";Cancelacion_por_Englobe;;;;;;
1645850;L9_81;78;78;BOLÍVAR;TURBACO;"05/11/2025";"060-242053";"13836";"13836010100000334";;"138360101000003340029000000000";Englobe_Nuevo_FMI;"060-251742";Privado_Privado;NPH;"600";;
1645850;L9_81;81;81;BOLÍVAR;TURBACO;"05/11/2025";"060-251742";SIN N;SIN NPN;FMI_Debe_Estar_Cerrado;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1645850;L9_81;77;77;BOLÍVAR;TURBACO;"05/11/2025";"060-242052";"13836";"13836010100000334";;"138360101000003340013000000000";Englobe_Nuevo_FMI;"060-251742";Privado_Privado;NPH;"600";;
1645870;L9_84;84;84;BOLÍVAR;TURBACO;"05/11/2025";"060-251742";SIN N;SIN NPN;;SIN NPN;Desenglobe_Division_Material;"060-251744";Privado_Privado;NPH;"180";;
1645871;L9_83;83;83;BOLÍVAR;TURBACO;"05/11/2025";"060-251742";SIN N;SIN NPN;;SIN NPN;Desenglobe_Division_Material;"060-251745";Privado_Privado;NPH;"180";;
1645872;L9_82;82;82;BOLÍVAR;TURBACO;"05/11/2025";"060-251742";SIN N;SIN NPN;;SIN NPN;Desenglobe_Division_Material;"060-251746";Privado_Privado;NPH;"240";;
1081264;"13281245";72;72;BOLÍVAR;TURBACO;"05/11/2025";"060-269397";"13836";"13836010100000557";;"138360101000005570007000000000";Cambio_Numero_Predial_NPH_a_PH;"060-269397";Privado_Privado;PH_Matriz;"209";;
1367578;"1100939";26;26;BOLÍVAR;TURBACO;"05/11/2025";"060-284674";"13836";"13836010100000072";;"138360101000000720017000000000";Cambio_Numero_Predial_NPH_a_PH;"060-284674";Privado_Privado;PH_Matriz;"180.5";;
1646161;L9_68;68;68;BOLÍVAR;TURBACO;"05/11/2025";"060-34668";"13836";"13836010100000484";;"138360101000004840048000000000";Desenglobe_Division_Material;"060-290485";Privado_Privado;PH_Unidad_Predial;"79.46";0.1895;"79.46"
1646159;L9_70;70;70;BOLÍVAR;TURBACO;"05/11/2025";"060-34668";"13836";"13836010100000484";;"138360101000004840048000000000";Desenglobe_Division_Material;"060-290486";Privado_Privado;PH_Unidad_Predial;"138.2";0.3295;"138.2"
1646158;L9_71;71;71;BOLÍVAR;TURBACO;"05/11/2025";"060-34668";"13836";"13836010100000484";;"138360101000004840048000000000";Desenglobe_Division_Material;"060-290487";Privado_Privado;PH_Unidad_Predial;"83.43";0.19899999999999998;"83.43"
1646160;L9_69;69;69;BOLÍVAR;TURBACO;"05/11/2025";"060-34668";"13836";"13836010100000484";;"138360101000004840048000000000";Desenglobe_Division_Material;"060-290488";Privado_Privado;PH_Unidad_Predial;"118.24";0.282;"118.24"
1646304;L9_57;57;57;BOLÍVAR;TURBACO;"05/11/2025";"060-218455";"13836";"13836010300000125";;"138360103000001250026000000000";Desenglobe_Division_Material;"060-299904";Privado_Privado;PH_Unidad_Predial;"81.34";0.25;"81.34"
1646305;L9_56;56;56;BOLÍVAR;TURBACO;"05/11/2025";"060-218455";"13836";"13836010300000125";;"138360103000001250026000000000";Desenglobe_Division_Material;"060-299905";Privado_Privado;PH_Unidad_Predial;"81.34";0.25;"81.34"
1646306;L9_55;55;55;BOLÍVAR;TURBACO;"05/11/2025";"060-218455";"13836";"13836010300000125";;"138360103000001250026000000000";Desenglobe_Division_Material;"060-299906";Privado_Privado;PH_Unidad_Predial;"81.34";0.25;"81.34"
1646303;L9_58;58;58;BOLÍVAR;TURBACO;"05/11/2025";"060-218455";"13836";"13836010300000125";;"138360103000001250026000000000";Desenglobe_Division_Material;"060-299907";Privado_Privado;PH_Unidad_Predial;"81.34";0.25;"81.34"
1434869;"1112896";85;85;BOLÍVAR;TURBACO;"05/11/2025";"060-302457";"13836";"13836010200000241";;"138360102000002410005000000000";Cambio_Numero_Predial_NPH_a_PH;"060-302457";Privado_Privado;PH_Matriz;"164.5";;
