"objectid";"id_operacion";"codigo_orip";"matricula_inmobiliaria";"area_catastral_terreno";"numero_predial_nacional";"tipo";"condicion_predio";"destinacion_economica";"area_registral_m2";"tipo_referencia_fmi_antiguo";"coeficiente";"area_coeficiente";"globalid";"predioinformal_guid";"municipio";"referencia_registral";"gdb_geomattr_data";"shape"
1369514;"1541550";"083";"34850";187,00000000;"154690100000000240801800000071";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{23110672-8676-4C16-A11F-7174BC3A15B9};{00000000-0000-0000-0000-000000000000};;;;POINT (4936902,811197944 2207374,2230713945)
1143552;"1541553";"083";"34847";196,00000000;"154690100000000240801800000074";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{3285D87C-5CA8-415B-B64F-26CA1D6127B2};{00000000-0000-0000-0000-000000000000};;;;POINT (4936917,112561373 2207360,6396234417)
1272338;"1544019";"083";"17910";1600,00000000;"154690100000001180801800000015";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{EF5FB7D5-2FE4-49D8-A3B1-436975F33704};{00000000-0000-0000-0000-000000000000};;;;POINT (4935724,997949735 2208136,9916255204)
1082733;"1544021";"083";"17912";1200,00000000;"154690100000001180801800000017";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{A9E9DCEA-E719-430B-BB09-60387D9F8691};{00000000-0000-0000-0000-000000000000};;;;POINT (4935707,146544422 2208092,656399658)
1305840;"1544025";"083";"17908";1200,00000000;"154690100000001180801800000021";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{524A5A71-A84C-419B-93CB-7D6BB9585ABB};{00000000-0000-0000-0000-000000000000};;;;POINT (4935743,2044947725 2208058,1955330484)
1500545;"1544032";"083";"17899";1200,00000000;"154690100000001180801800000028";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{729236E2-6745-4B1B-952F-9E390D0E84F2};{00000000-0000-0000-0000-000000000000};;;;POINT (4935828,870475123 2208116,0112305107)
1532645;"1544042";"083";"17928";1155,00000000;"154690100000001180801800000038";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{8DF3C685-75BB-48F9-86A3-A62B9C127641};{00000000-0000-0000-0000-000000000000};;;;POINT (4935845,131408094 2208202,826622029)
1532646;"1544044";"083";"17896";1200,00000000;"154690100000001180801800000040";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{9B934A2D-59AA-4815-888A-94644FC01F6C};{00000000-0000-0000-0000-000000000000};;;;POINT (4935858,426152473 2208120,9756500265)
1240609;"1544046";"083";"17891";1200,00000000;"154690100000001180801800000042";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{2169CDF5-8721-4883-86C6-B7CD13A0B460};{00000000-0000-0000-0000-000000000000};;;;POINT (4935892,648665061 2208051,3535674093)
1143701;"1544047";"083";"17892";900,00000000;"154690100000001180801800000043";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{57FAF06C-5462-4F1D-B229-ECA0FC2D6D43};{00000000-0000-0000-0000-000000000000};;;;POINT (4935894,186380584 2208088,401419119)
1532647;"1544051";"083";"17920";1200,00000000;"154690100000001180801800000047";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{4F058D20-7F93-4741-BACA-365C344EDA98};{00000000-0000-0000-0000-000000000000};;;;POINT (4935866,68345866 2208250,102632255)
1052536;"1544052";"083";"17921";1200,00000000;"154690100000001180801800000048";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{1AD2BA6D-0BE1-4814-902B-30B732039C53};{00000000-0000-0000-0000-000000000000};;;;POINT (4935856,629754569 2208300,2045016703)
1369488;"1540939";;"";3115,00000000;"154690100000000070011000000000";Privado;NPH;Habitacional;;;;;{BA4011BD-7B2E-4A99-8B82-73F896F0B11C};{00000000-0000-0000-0000-000000000000};;;;POINT (4936418,857652536 2207314,9884866797)
1110811;"1540942";"083";"485";223,00000000;"154690100000000070014000000000";Privado;NPH;Habitacional;;;;;{27031F9D-662F-4E6C-AEB4-2AEDFA4F3E6D};{00000000-0000-0000-0000-000000000000};;;;POINT (4936515,842164006 2207344,7901368244)
1403805;"1540956";"083";"5012";140,00000000;"154690100000000070031000000000";Privado;NPH;Habitacional;;;;;{E0555AEC-D808-4EE3-956D-4018A25CE2EB};{00000000-0000-0000-0000-000000000000};;;;POINT (4936502,354021294 2207335,780511283)
1305732;"1541561";"083";"34874";217,00000000;"154690100000000240801800000082";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{7DB2D6E2-2F1E-4C08-88AB-08E4F02167D2};{00000000-0000-0000-0000-000000000000};;;;POINT (4936848,261864137 2207344,878360728)
1052403;"1541588";"083";"5197";169,00000000;"154690100000000250009000000000";Privado;NPH;Habitacional;;;;;{44431ED9-DB1D-4ADE-8C1C-3B3BCDBB9F9F};{00000000-0000-0000-0000-000000000000};;;;POINT (4936942,417097788 2207425,306653467)
1175275;"1542198";"083";"5775";60,00000000;"154690100000000430029000000000";Privado;NPH;Habitacional;;;;;{06B060AC-E67F-4E23-9B14-C694251444B7};{00000000-0000-0000-0000-000000000000};;;;POINT (4936520,178154882 2206572,9232525555)
1110940;"1543437";"083";"15716";376,00000000;"154690100000000830010000000000";Privado;NPH;Habitacional;;;;;{662307ED-8BDF-45B2-8229-FA715AD820E0};{00000000-0000-0000-0000-000000000000};;;;POINT (4936490,88376738 2207186,8438129285)
1272298;"1543441";"083";"3710";50,00000000;"154690100000000830014000000000";Privado;NPH;Habitacional;;;;;{3BF090A5-DD8B-40E8-8E06-9B1C7DB02288};{00000000-0000-0000-0000-000000000000};;;;POINT (4936479,135789192 2207205,4129520115)
1532648;"1544061";"083";"17952";1200,00000000;"154690100000001180801800000057";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{E4AC81C6-D48D-4779-ABD7-FD6291276FEF};{00000000-0000-0000-0000-000000000000};;;;POINT (4935911,13146232 2208355,4878064073)
