"globalid";"altura";"anio_construccion";"area_construccion";"area_privada_construida";"etiqueta";"id_caracteristicasunidadconstru";"id_operacion_predio";"planta_ubicacion";"tipo_planta";"caracteristicasuc_guid";"codigo";"identificador";"observaciones"
{1CA3713E-BFD6-4A85-B322-E09EF456F324};2;2005,0000;69,0000;;A;"5119957";"6036331";1;Piso;{15DE9779-8539-405B-9A62-93AC09B446DA};"634010100000003440011000000000";A;update_Caso 1
{1987FF59-2E72-46D2-ADE2-84561A581016};2;2010,0000;72,0000;;A;"5120915";"6037306";1;Piso;{4626202C-0C18-4799-8153-6A3558EA4B98};"634010100000004140004000000000";A;update_Caso 1
{58C882C6-908D-42BF-BC92-BAABF12E3B70};2;2010,0000;35,9900;;B;"21041685";"6037126";1;Piso;{95914C43-8C27-4881-8888-611B7124D330};"634010100000004000004000000000";B;update_Caso 3
{73B09B68-57D7-4365-970B-7E140FA1F002};2;2000,0000;75,0000;;A;"5116936";"6032890";1;Piso;{1E3D65F9-449A-4C2C-ACDB-8FEEFE38B5A0};"634010100000001380018000000000";A;update_Caso 1
{90F87462-8509-4C92-ACD2-0F86795D0542};2;2005,0000;124,2300;;A;"5118934";"6035110";1;Piso;{2C623C39-46CE-409C-B27E-13F0DA39272E};"634010100000002950026000000000";A;update_Caso 5
{47F82348-97BA-4E95-8C4C-B5FF24426811};2;2010,0000;23,1000;;B;"21041374";"6034663";2;Piso;{C183697F-6A30-4567-A8A5-CF3E06587D79};"634010100000002820006000000000";B;update_Caso 1
{6F3E0AE0-34EA-473A-90CC-B41B2FCEB56F};2;2003,0000;79,4700;;A;"5119445";"6035716";1;Piso;{8BFDE676-9B66-4AE3-9367-56F6B980EB50};"634010100000003130018000000000";A;update_Caso 5
{452F0FD7-591D-4346-A53C-298BF16864D3};2;2010,0000;104,7500;;A;"21041434";"6034549";1;Piso;{546F75AD-BC17-4E5E-9702-55CC2EBF58FB};"634010100000002760004000000000";A;update_Caso 5
{2790F08E-B9DC-4825-9F97-0D51040C4651};2;2006,0000;17,1000;;A;"21062987";"6030618";1;Piso;{8A11A793-DA05-4D78-85DC-BC8BC3D90FA2};"634010100000000280011000000000";A;update_Caso 1
{4DE78E3C-B6DA-426F-8699-EB4CAAB5ACC2};2;2010,0000;10,2300;;D;"21035087";"6030408";1;Piso;{ABB0FED6-3E1A-47EF-BEDE-A15D99FA132E};"634010100000000230021000000000";D;update_Caso 1
{8069AC7A-C096-4C1F-A963-66CEE824AFBF};2;2009,0000;60,0000;;A;"5119304";"6035545";1;Piso;{1F381174-80D9-4FC1-9499-E4DF07EDFEA5};"634010100000003080010000000000";A;update_Caso 1
{13915BAF-9A85-4C61-93FC-1E0CC1337B35};2;2000,0000;39,5000;;A;"5120669";"6037057";1;Piso;{A530BF03-7B8D-4504-A7AA-39CDF2C867B0};"634010100000003950016000000000";A;update_Caso 1
{39A51E10-69E0-4120-A02B-8280A4F8BCF7};2;1990,0000;159,0400;;A;"5121796";"6038548";1;Piso;{6D4AD4B4-DFDE-4983-B87E-06BF01DC4FB7};"634010100000005230001000000000";A;update_Caso 5
{030BABCB-F404-47FF-87ED-E14B80E3B92C};2;2017,0000;144,3900;;A;"21037742";"6034510";2;Piso;{B51AC16E-CD54-4524-9737-F01AC887B6A2};"634010100000002710002000000000";A;update_Caso 5
{45AA2E64-5405-4075-AC9C-FD2A69A6E5FD};2;2010,0000;51,0000;;A;"5118687";"6034818";1;Piso;{7076928C-A00E-4AEC-A6CB-DEE3A4068FFB};"634010100000002860022000000000";A;update_Caso 1
{F4641667-4C8D-48AA-926E-4640E88F87D9};2;2005,0000;19,6500;;A;"21037590";"6032668";1;Piso;{536062A9-7F60-4725-9FD9-36180E94459D};"634010100000001260007000000000";A;update_Caso 5
{1E0E0B68-33D1-4785-81D7-188BDA8F89C2};2;2000,0000;12,4000;;B;"21043596";"6032076";1;Piso;{B503A1F6-CD57-4217-96BA-42AF7B07391D};"634010100000000910016000000000";B;update_Caso 1
{593F35A9-C29B-4EEA-AFB9-78A2059F71C7};2;2010,0000;5,1500;;B;"21041433";"6034549";3;Piso;{58295A5C-4820-4213-AAE2-7546DAE90A6A};"634010100000002760004000000000";B;update_Caso 3
{104ECCF8-6D6D-45BF-9B5B-9593056B0AF7};2;1999,0000;39,4800;;B;"21045499";"6030600";1;Piso;{B413BF66-2124-42D6-9940-5D9756CD4E34};"634010100000000270033000000000";B;update_Caso 5
{2D7D4ACB-0AA6-411D-85F3-886DEE3AE58D};2;2000,0000;124,2300;;A;"5118997";"6035194";1;Piso;{23577634-B8A4-4B6A-B16F-B15CB7B34414};"634010100000002980001000000000";A;update_Caso 5
{42AA7B40-8096-40DE-BA5C-6940526FD921};2;2000,0000;72,0000;;A;"5121729";"6038461";1;Piso;{CE6211C3-4E23-44B4-9930-EB6EF9B9A3DA};"634010100000005180011000000000";A;update_Caso 1
{649553F8-2C69-40F6-AF75-242D8C971E77};2;1990,0000;86,4000;;A;"5117324";"6033265";1;Piso;{99CF51B0-9A5F-43F9-81DE-7A8DC7D89AA3};"634010100000001600013000000000";A;update_Caso 3
