"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1642673;L6_45;45;45;BOYACÁ;SOGAMOSO;"14/10/2025";"095-158004";;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1642673;L6_45;35;35;BOYACÁ;SOGAMOSO;"14/10/2025";"095-118250";;"157590102000005020009000000000";Englobe_Nuevo_FMI;"095-158004";Privado_Privado;NPH;918.13;;
1642673;L6_45;34;34;BOYACÁ;SOGAMOSO;"14/10/2025";"095-118249";;"157590102000005020008000000000";Englobe_Nuevo_FMI;"095-158004";Privado_Privado;NPH;918.13;;
1642674;L6_124;124;124;BOYACÁ;RAMIRIQUÍ;"14/10/2025";"090-57373";;"155990000000000200465000000000";Cancelacion;;;;;;
1642675;L6_15;15;15;BOYACÁ;SOGAMOSO;"14/10/2025";"095-141198";;"157590102000002790907900000066";Cancelacion;;;;;;
1642676;L6_125;125;125;BOLÍVAR;TURBACO;"14/10/2025";"060-355362";;"138360002000000021591000000000";Cancelacion_por_Desenglobe;;;;;;
1642677;L6_4;4;4;RISARALDA;APÍA;"14/10/2025";"292-5254";;"660450001000000050610000000000";Englobe_Nuevo_FMI;"292-8464";Privado_Privado;NPH;365936.0;;
1642677;L6_4;3;3;RISARALDA;APÍA;"14/10/2025";"292-5255";;"660450001000000050204000000000";Englobe_Nuevo_FMI;"292-8464";Privado_Privado;NPH;365936.0;;
1642677;L6_4;2;2;RISARALDA;APÍA;"14/10/2025";"292-6391";;"660450001000000050632000000000";Englobe_Nuevo_FMI;"292-8464";Privado_Privado;NPH;365936.0;;
1642678;L6_9;9;9;RISARALDA;APÍA;"14/10/2025";"292-1927";;"660450001000000050377000000000";Englobe_Nuevo_FMI;"292-8515";Privado_Privado;NPH;140000.0;;
1642678;L6_9;8;8;RISARALDA;APÍA;"14/10/2025";"292-2117";;"660450001000000050331000000000";Englobe_Nuevo_FMI;"292-8515";Privado_Privado;NPH;140000.0;;
