"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente";"field15"
1643524;L7_340;340;340;BOYACÁ;SOGAMOSO;"20/10/2025";"095-154689";;"157590101000005620134000000000";Desenglobe_Division_Material;"095-167391";Privado_Privado;PH_Unidad_Predial;"84.76";0.30579999999999996;"84.76";
1643524;L7_340;85;85;BOYACÁ;SOGAMOSO;"20/10/2025";"095-154689";;"157590101000005620134000000000";Desenglobe_Division_Material;"095-167391";Privado_Privado;PH_Unidad_Predial;"84.76";0.30579999999999996;"84.76";
1643525;L7_86;341;341;BOYACÁ;SOGAMOSO;"20/10/2025";"095-154689";;"157590101000005620134000000000";Desenglobe_Division_Material;"095-167389";Privado_Privado;PH_Unidad_Predial;"107.64";0.3884;"107.64";
1643525;L7_86;86;86;BOYACÁ;SOGAMOSO;"20/10/2025";"095-154689";;"157590101000005620134000000000";Desenglobe_Division_Material;"095-167389";Privado_Privado;PH_Unidad_Predial;"107.64";0.3884;"107.64";
1643526;L7_84;339;339;BOYACÁ;SOGAMOSO;"20/10/2025";"095-154689";;"157590101000005620134000000000";Desenglobe_Division_Material;"095-167390";Privado_Privado;PH_Unidad_Predial;"84.76";0.30579999999999996;"84.76";
1643526;L7_84;84;84;BOYACÁ;SOGAMOSO;"20/10/2025";"095-154689";;"157590101000005620134000000000";Desenglobe_Division_Material;"095-167390";Privado_Privado;PH_Unidad_Predial;"84.76";0.30579999999999996;"84.76";
1643527;L7_114;114;114;BOYACÁ;SOGAMOSO;"20/10/2025";"095-123426";;"157590101000000610002000000000";Desenglobe_Division_Material;"095-157824";Privado_Privado;PH_Unidad_Predial;"72.31";0.5158;"72.31";
1643528;L7_113;113;113;BOYACÁ;SOGAMOSO;"20/10/2025";"095-123426";;"157590101000000610002000000000";Desenglobe_Division_Material;"095-157823";Privado_Privado;PH_Unidad_Predial;"67.88";0.4842;"67.88";
1643529;L7_39;39;39;BOYACÁ;MONIQUIRA;"20/10/2025";"083-11982";;"154690000000000250102000000000";Desenglobe_Venta_Parcial;"083-43994";Privado_Privado;NPH;"6375";;;
1643530;L7_245;245;245;BOYACÁ;SOGAMOSO;"20/10/2025";"095-27321";;"157590101000009130002000000000";Desenglobe_Division_Material;"095-163578";Privado_Privado;NPH;"2785";;;
1643531;L7_244;244;244;BOYACÁ;SOGAMOSO;"20/10/2025";"095-27321";;"157590101000009130002000000000";Desenglobe_Division_Material;"095-150537";Privado_Privado;NPH;"390";;;
1643532;L7_64;64;64;BOYACÁ;MONIQUIRA;"20/10/2025";"083-15726";;"154690000000000300060000000000";Desenglobe_Division_Material;"083-40350";Privado_Privado;NPH;"3261";;;
1643533;L7_253;253;253;BOYACÁ;SOGAMOSO;"20/10/2025";"095-48450";;"157590001000000020473000000000";Desenglobe_Venta_Parcial;"095-155670";Privado_Privado;NPH;"14040.67";;;
1643534;L7_41;41;41;BOYACÁ;MONIQUIRA;"20/10/2025";"083-37557";;"154690000000000250227000000000";Desenglobe_Venta_Parcial;"083-44373";Privado_Privado;NPH;"5143.09";;;
1643535;L7_50;50;50;BOYACÁ;MONIQUIRA;"20/10/2025";"083-17726";;"154690100000001040006000000000";Desenglobe_Division_Material;"083-42783";Privado_Privado;NPH;"200";;;
1643536;L7_49;49;49;BOYACÁ;MONIQUIRA;"20/10/2025";"083-17726";;"154690100000001040006000000000";Desenglobe_Division_Material;"083-42782";Privado_Privado;NPH;"200";;;
1643537;L7_62;62;62;BOYACÁ;MONIQUIRA;"20/10/2025";"083-35554";FMI_Debe_Estar_Cerrado;"154690000000000310417000000000";Desenglobe_Division_Material;"083-39737";Privado_Privado;NPH;"52435";;;
1643538;L7_38;38;38;BOYACÁ;MONIQUIRA;"20/10/2025";"083-6257";;"154690000000000200060000000000";Desenglobe_Venta_Parcial;"083-43569";Privado_Privado;NPH;"6234,37 ";;;
1643539;L7_66;66;66;BOYACÁ;MONIQUIRA;"20/10/2025";"083-1021";;"154690000000000160087000000000";Desenglobe_Division_Material;"083-42734";Privado_Privado;NPH;"2610";;;
1643540;L7_17;17;17;BOYACÁ;MONIQUIRA;"20/10/2025";"083-21555";;"154690000000000030095000000000";Desenglobe_Division_Material; 083-45585;Privado_Privado;NPH;"34052";;;
1643540;L7_17;16;16;BOYACÁ;MONIQUIRA;"20/10/2025";"083-21555";;"154690000000000030095000000000";Desenglobe_Division_Material; 083-45585;Privado_Privado;NPH;"948";;;
1643541;L7_607;607;607;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667423";Privado_Privado;NPH;"425.9";;;
1643542;L7_606;606;606;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667426";Privado_Privado;NPH;"634.79999999999995";;;
1643543;L7_605;605;605;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667422";Privado_Privado;NPH;"439.42";;;
1643544;L7_604;604;604;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667421";Privado_Privado;NPH;"460.3";;;
1643545;L7_603;603;603;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667428";Privado_Privado;NPH;"470.4";;;
1643546;L7_602;602;602;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667427";Privado_Privado;NPH;"638.16999999999996";;;
1643547;L7_601;601;601;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667431";Privado_Privado;NPH;"511.15";;;
1643548;L7_600;600;600;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667430";Privado_Privado;NPH;"490.34";;;
1643549;L7_599;599;599;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667434";Privado_Privado;NPH;"521.96";;;
1643550;L7_598;598;598;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667429";Privado_Privado;NPH;"538.97";;;
1643551;L7_597;597;597;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667433";Privado_Privado;NPH;"2238.12";;;
1643552;L7_596;596;596;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667424";Privado_Privado;NPH;"454.07";;;
1643553;L7_595;595;595;ATLÁNTICO;TUBARÁ;"20/10/2025";"040-324171";;"088320003000000010603000000000";Desenglobe_Division_Material;"040-667425";Privado_Privado;NPH;"574.91";;;
