"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1096637;"603377";2068;"040-275479";;"088320002000000010006000000000";Cancelacion_por_Desenglobe;;;;;;;1
1636726;"603377R2069";2069;"040-275479";;"088320002000000010006000000000";Desenglobe_Division_Material;"040-588308";Privado_Privado;NPH;"842787.5";;;1
1636738;L3_R2102;2102;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627092";Privado_Privado;NPH;"900";;;1
1636753;L3_R2087;2087;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627093";Privado_Privado;NPH;"900";;;1
1636751;L3_R2089;2089;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627094";Privado_Privado;NPH;"900";;;1
1636750;L3_R2090;2090;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627095";Privado_Privado;NPH;"780";;;1
1636736;L3_R2104;2104;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627096";Privado_Privado;NPH;"780";;;1
1636727;L3_R2113;2113;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627097";Privado_Privado;NPH;"790.3";;;1
1636728;L3_R2112;2112;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627098";Privado_Privado;NPH;"1264.58";;;1
1636733;L3_R2107;2107;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627099";Privado_Privado;NPH;"780";;;1
1636732;L3_R2108;2108;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627100";Privado_Privado;NPH;"900";;;1
1636730;L3_R2110;2110;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627101";Privado_Privado;NPH;"900";;;1
1636734;L3_R2106;2106;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627102";Privado_Privado;NPH;"900";;;1
1636729;L3_R2111;2111;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627103";Privado_Privado;NPH;"900";;;1
1636731;L3_R2109;2109;"040-355907";;"088320002000000010847000000000";Desenglobe_Division_Material;"040-627104";Privado_Privado;NPH;"900";;;1
