id_operacion;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente;field15
L5_552;552;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653377;Privado_Privado;NPH;500;;;
L5_551;551;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653380;Privado_Privado;NPH;500;;;
L5_550;550;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653373;Privado_Privado;NPH;604.9;;;
L5_549;549;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653383;Privado_Privado;NPH;374.1;;;
L5_548;548;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653372;Privado_Privado;NPH;52.570.000.000.000.000;;;
L5_547;547;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653369;Privado_Privado;NPH;500;;;
L5_546;546;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653387;Privado_Privado;NPH;500;;;
L5_545;545;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653379;Privado_Privado;NPH;500;;;
L5_544;544;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653366;Privado_Privado;NPH;56.920.000.000.000.000;;;
L5_543;543;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653386;Privado_Privado;NPH;500;;;
L5_542;542;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653385;Privado_Privado;NPH;500;;;
L5_541;541;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653370;Privado_Privado;NPH;500;;;
L5_540;540;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653384;Privado_Privado;NPH;500;;;
L5_539;539;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653371;Privado_Privado;NPH;500;;;
L5_538;538;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653356;Privado_Privado;NPH;500;;;
L5_555;555;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653381;Privado_Privado;NPH;500;;;
L5_574;574;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653360;Privado_Privado;NPH;500;;;
L5_573;573;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653389;Privado_Privado;NPH;500;;;
L5_572;572;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653388;Privado_Privado;NPH;500;;;
L5_571;571;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653365;Privado_Privado;NPH;500;;;
L5_570;570;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653364;Privado_Privado;NPH;500;;;
L5_569;569;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653358;Privado_Privado;NPH;500;;;
L5_568;568;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653357;Privado_Privado;NPH;500;;;
L5_567;567;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653361;Privado_Privado;NPH;500;;;
L5_566;566;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653359;Privado_Privado;NPH;500;;;
L5_565;565;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653391;Privado_Privado;NPH;500;;;
L5_564;564;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653362;Privado_Privado;NPH;500;;;
L5_563;563;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653390;Privado_Privado;NPH;500;;;
L5_562;562;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653363;Privado_Privado;NPH;500;;;
L5_561;561;ATLÁNTICO;TUBARÁ;6/10/2025;040-406198;;8,832E+28;Desenglobe_Venta_Parcial;040-653378;Privado_Privado;NPH;500;;;
L5_509;509;ATLÁNTICO;TUBARÁ;6/10/2025;040-477294;;8,832E+28;Desenglobe_Division_Material;040-525384;Privado_Privado;NPH;12457;;;
L5_510;510;ATLÁNTICO;TUBARÁ;6/10/2025;040-477294;;8,832E+28;Desenglobe_Division_Material;040-525383;Privado_Privado;NPH;450.5;;;
L5_521;521;ATLÁNTICO;TUBARÁ;6/10/2025;040-477728;;8,832E+28;Desenglobe_Division_Material;040-635683;Privado_Privado;NPH;74074;;;
L5_520;520;ATLÁNTICO;TUBARÁ;6/10/2025;040-477728;;8,832E+28;Desenglobe_Division_Material;040-635685;Privado_Privado;NPH;11653.5;;;
L5_519;519;ATLÁNTICO;TUBARÁ;6/10/2025;040-477728;;8,832E+28;Desenglobe_Division_Material;040-635684;Privado_Privado;NPH;254272.5;;;
L5_515;515;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542022;Privado_Privado;NPH;770;;;
L5_516;516;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542021;Privado_Privado;NPH;1000;;;
L5_517;517;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542027;Privado_Privado;NPH;828;;;
L5_511;511;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542026;Privado_Privado;NPH;1189;;;
L5_512;512;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542025;Privado_Privado;NPH;527;;;
L5_513;513;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542024;Privado_Privado;NPH;700;;;
L5_514;514;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542023;Privado_Privado;NPH;720;;;
L5_497;497;ATLÁNTICO;TUBARÁ;6/10/2025;040-498846;;8,832E+28;Desenglobe_Division_Material;040-632978;Privado_Privado;PH_Unidad_Predial;;;;
L5_500;500;ATLÁNTICO;TUBARÁ;6/10/2025;040-498846;;8,832E+28;Desenglobe_Division_Material;040-632980;Privado_Privado;PH_Unidad_Predial;;;;
