"left";"tipo_tipologia";"count"
"15816";Residencial_Tipo_0_1002311;3
"13430";Residencial_Tipo_5_1021125;52
"15469";ED_Multifamiliar_Medio_9026505;1
"68745";Institucional_Tipo_3_5021143;2
"68673";Comercial_Intermedio_2_2021532;4
"66383";Institucional_Tipo_1_5014111;16
"15189";Comercial_Intermedio_2_2021532;62
"15469";Residencial_Tipo_4_1021134;1273
"66045";Institucional_Religioso_Tipo_2_6031132;1
"25001";Institucional_Tipo_6_5011111;13
"15299";Residencial_Tipo_5_menos_1011115;197
"15299";Institucional_Tipo_1_5014111;16
"66687";Comercial_Intermedio_1_2021132;41
"66318";Institucional_Tipo_4_5036144;1
"68573";Residencial_Tipo_4_menos_1024114;4
"15798";Residencial_Tipo_3_mas_1011133;137
"23570";Comercial_Intermedio_1_2021132;20
"25183";Residencial_Tipo_6_1031126;6
"23079";Comercial_Intermedio_2_2021532;109
"23570";Institucional_Tipo_5_Prefabricado_5015510;4
"70124";Industrial_Liviana_2_3001121;8
"66383";Institucional_Religioso_Tipo_2_6031132;1
"25001";Comercial_Intermedio_1_2021132;30
"23350";Institucional_Religioso_Tipo_1_6021131;10
"15325";Industrial_Mediana_1_3011132;7
"23079";Institucional_Religioso_Tipo_1_6021131;28
"15759";Comercial_Especializado_4_2036533;1
"25183";Institucional_Salud_3_7031173;2
"13836";Comercial_Especializado_4_2036533;3
"15835";Industrial_Mediana_1_3011132;17
"15761";Residencial_Tipo_2_1004122;318
"68101";Industrial_Pesada_1_3023132;1
"68673";Residencial_Tipo_4_1021134;4
"13836";Comercial_Intermedio_1_2021132;6
"25295";Conservacion_Residencial_Sencilla_Tipo_1_4014011;1
"68861";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;12
"15761";Comercial_Intermedio_3_2026532;2
"23079";ED_Servicios_Tipo_1_9026547;8
"15293";Institucional_Religioso_Tipo_1_6021131;1
"66383";Residencial_Tipo_4_menos_1024114;22
"50313";Institucional_Tipo_1_5014111;13
"08832";Residencial_Tipo_2_1004122;1775
"66383";Comercial_Intermedio_1_2021132;13
"15798";Comercial_Especializado_1_2023123;13
"15299";Institucional_Salud_2_7021132;3
"13430";Industrial_Pesada_2_3033443;3
"25772";Institucional_Religioso_Tipo_2_6031132;1
"25183";Residencial_Tipo_3_menos_1004113;1824
"23350";Residencial_Tipo_3_mas_1011133;175
"15761";Residencial_Tipo_1_1014011;781
"68573";Industrial_Liviana_1_3002311;1
"25001";Residencial_Tipo_3_menos_1004113;1645
"15664";Comercial_Intermedio_3_2026532;1
"15842";Residencial_Tipo_1_1014011;1056
"23350";Institucional_Tipo_6_5011111;16
"25772";Institucional_Religioso_Tipo_1_6021131;6
"15761";Residencial_Tipo_3_menos_1004113;145
"25295";Comercial_Intermedio_1_2021132;22
"23350";Residencial_Tipo_4_1021134;48
"15761";Residencial_Tipo_5_menos_1011115;10
"15469";Comercial_Basico_2_2014111;1
"66687";Residencial_Tipo_3_mas_1011133;331
"08832";Comercial_Intermedio_1_2021132;12
"66045";Conservacion_Residencial_Tipo_3_Restaurada_4024023;1
"15759";Comercial_Especializado_1_2023123;1158
"68101";Residencial_Tipo_5_1021125;2
"25183";Comercial_Intermedio_1_2021132;43
"15816";Institucional_Tipo_6_5011111;3
"13836";Residencial_Tipo_5_mas_1031135;53
"68745";Institucional_Tipo_7_5021132;2
"23555";Institucional_Religioso_Tipo_1_6021131;53
"15325";Institucional_Tipo_6_5011111;5
"25295";Institucional_Tipo_2_5011122;12
"15835";ED_Servicios_Tipo_1_9026547;2
"15664";Residencial_Tipo_3_menos_1004113;375
"13430";Comercial_Especializado_2_2036543;76
"25295";ED_Multifamiliar_Vivienda_VIS_Serie_2_Pisos_9011122;629
"15764";Institucional_Tipo_1_5014111;3
"15325";Residencial_Tipo_3_mas_1011133;141
"08832";Comercial_Especializado_1_2023123;11
"15842";Residencial_Tipo_0_1002311;3
"68861";Residencial_Tipo_4_1021134;470
"25772";Residencial_Tipo_4_1021134;573
"66318";Institucional_Salud_2_7021132;5
"23079";Comercial_Intermedio_3_2026532;2
"15686";Comercial_Intermedio_1_2021132;9
"13836";Institucional_Tipo_6_5011111;157
"23570";Institucional_Tipo_6_5011111;9
"15842";Residencial_Tipo_4_menos_1024114;3
"23555";Industrial_Pesada_1_3023132;9
"50313";Residencial_Tipo_4_1021134;4274
"15861";Institucional_Tipo_2_5011122;31
"23570";Comercial_Intermedio_3_2026532;2
"15299";Residencial_Tipo_5_mas_1031135;3
"15469";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;205
"23570";Residencial_Tipo_3_mas_1011133;119
"23555";Institucional_Salud_1_7011121;1
"66318";Residencial_Tipo_1_1014011;1533
"66318";Institucional_Tipo_5_Prefabricado_5015510;3
"66045";Comercial_Especializado_1_2023123;77
"15759";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;6079
"15879";Residencial_Tipo_2_1004122;412
"68673";Institucional_Tipo_5_Prefabricado_5015510;2
"68101";Residencial_Tipo_1_1014011;1698
"15686";Industrial_Mediana_1_3011132;37
"15842";Comercial_Intermedio_3_2026532;2
"15293";Residencial_Tipo_5_menos_1011115;1
"15189";Industrial_Liviana_2_3001121;2
"13430";Institucional_Salud_1_7011121;9
"15469";Residencial_Tipo_0_1002311;15
"15325";Institucional_Religioso_Tipo_1_6021131;4
"15842";Institucional_Tipo_2_5011122;1
"23079";Institucional_Tipo_5_Prefabricado_5015510;2
"70124";Institucional_Tipo_5_Prefabricado_5015510;2
"15299";Industrial_Liviana_1_3002311;1
"68101";Residencial_Tipo_4_menos_1024114;4
"66687";Comercial_Intermedio_2_2021532;36
"68179";Institucional_Tipo_1_5014111;6
"68179";Residencial_Tipo_2_1004122;556
"23675";Comercial_Especializado_1_2023123;8
"25183";Institucional_Salud_2_7021132;1
"66045";Residencial_Tipo_0_1002311;6
"15835";Comercial_Intermedio_1_2021132;35
"66318";Residencial_Tipo_4_menos_1024114;15
"68861";Comercial_Intermedio_1_2021132;84
"68101";Comercial_Especializado_2_2036543;2
"15299";Institucional_Tipo_8_5036553;1
"15380";Industrial_Liviana_2_3001121;3
"13430";Industrial_Liviana_2_3001121;126
"23079";Residencial_Tipo_1_1014011;1395
"66318";Residencial_Tipo_2_1004122;881
"25295";Industrial_Mediana_1_3011132;234
"63401";Residencial_Tipo_5_1021125;51
"23350";Institucional_Tipo_3_5021143;5
"15759";Comercial_Especializado_2_2036543;979
"25295";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;1340
"15861";Comercial_Intermedio_1_2021132;9
"25183";Institucional_Salud_1_7011121;1
"68673";Institucional_Tipo_1_5014111;9
"68573";Institucional_Tipo_3_5021143;1
"66045";Industrial_Liviana_2_3001121;90
"68573";Institucional_Tipo_1_5014111;16
"63401";Residencial_Tipo_6_1031126;2
"23350";Residencial_Tipo_4_menos_1024114;2
"15299";Comercial_Especializado_2_2036543;33
