id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;árearegistralm2;coeficiente;área coefieciente;id_operacion_db
11499;11499;BOYACÁ;GARAGOA;6/06/2025;078-27494;;1,5299E+29;Desenglobe_Division_Material;078-41435;Privado_Privado;NPH;;;;1435103-4204
10864;10864;RISARALDA;LA CELIA;30/05/2025;297-8729;;6,6383E+29;Englobe_Nuevo_FMI;297-9425;Privado_Privado;NPH;;;;12095621
1672;1672;BOLÍVAR;TURBACO;23/05/2025;060-19504;;1,3836E+29;Desenglobe_Division_Material;060-325050;Privado_Privado;PH_Unidad_Predial;;;;1097579-1057
543;543;ATLÁNTICO;TUBARÁ;29/05/2025;040-625802;;SIN NPN;Desenglobe_Division_Material;040-654417;Privado_Privado;Condominio_Unidad_Predial;;;;L2-478
7293;7293;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78565;Privado_Privado;NPH;;;;13401270-11872
9700;9700;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80958;Privado_Privado;NPH;;;;13401270-12256
10119;10119;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-81389;Privado_Privado;NPH;;;;13401270-8811
5263;5263;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-76542;Privado_Privado;NPH;;;;13401270-7562
12109;12109;BOYACÁ;MONIQUIRÁ;30/05/2025;083-39375;;1,5469E+29;Englobe_Nuevo_FMI;083-40764;Privado_Privado;NPH;260;;;1540813-44
11842;11842;BOYACÁ;MONIQUIRÁ;30/05/2025;083-43359;;1,5469E+29;Desenglobe_Division_Material;083-46060;Privado_Privado;PH_Unidad_Predial;9.93;0.26300000000000001;9.93;1541597-4733
11222;11222;BOYACÁ;CIÉNEGA;30/05/2025;090-1617;;1,5189E+29;Desenglobe_Venta_Parcial;090-63580;Privado_Privado;NPH;;;;1321732-137
13739;13739;BOYACÁ;SOGAMOSO;22/08/2025;095-158224;;1,5759E+29;Desenglobe_Division_Material;095-166114;Privado_Privado;PH_Unidad_Predial;54.96;0.20830000000000001;54.96;14142767-5221
4778;4778;META;GRANADA;20/06/2025;236-42180;;5,0313E+29;Desenglobe_Division_Material;236-75507;Privado_Privado;NPH;;;;4753500-7324
5934;5934;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77207;Privado_Privado;NPH;;;;13401270-11109
1415;1415;BOLÍVAR;TURBACO;25/07/2025;060-13937;;1,3836E+29;Desenglobe_Division_Material;060-402732;Privado_Privado;NPH;112;;;13282259-717
11070;11070;RISARALDA;LA CELIA;6/06/2025;297-2582;;6,6383E+29;Englobe_Nuevo_FMI;297-8615;Privado_Privado;NPH;160000;;;9282019
9454;9454;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80712;Privado_Privado;NPH;;;;13401270-12529
2040;2040;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-346941;Privado_Privado;NPH;;;;L2-3332
4474;4474;META;GRANADA;20/06/2025;236-19640;;5,0313E+29;Desenglobe_Division_Material;236-71357;Privado_Privado;PH_Unidad_Predial;;;;4752584-7040
