"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1352712;"1097178";661;661;BOLÍVAR;TURBACO;2025-09-29;"060-317548";FMI_Debe_Estar_Abierto;"138360001000000020129000000000";Cambio_Numero_Predial_NPH_a_PH;"060-317548";Privado_Privado;PH_Matriz;"326848";;
1155048;"13493561";550;550;BOYACÁ;MONIQUIRA;2025-09-29;"083-44025";;"154690000000000110278000000000";Cancelacion_por_Desenglobe;;;;;;
1452965;"13493569";544;544;BOYACÁ;MONIQUIRA;2025-09-29;"083-44023";;"154690000000000110286000000000";Cancelacion_por_Desenglobe;;;;;;
1284724;"13493620";576;576;BOYACÁ;MONIQUIRA;2025-09-29;"083-44074";;"154690000000000150177000000000";Cancelacion_por_Desenglobe;;;;;;
1416762;"13494577";618;618;BOYACÁ;MONIQUIRA;2025-09-29;"083-44105";;"154690100000001340007000000000";Cancelacion_por_Desenglobe;;;;;;
1436525;"13510437";222;222;BOYACÁ;SOGAMOSO;2025-09-29;"095-139419";;"157590101000000050358000000000";Cambio_Numero_Predial_NPH_a_PH;"095-139419";Privado_Privado;PH_Matriz;"135";;
1338364;"13513294";309;309;BOYACÁ;SOGAMOSO;2025-09-29;"095-150394";;"157590101000003500244000000000";Cambio_Numero_Predial_NPH_a_PH;"095-150394";Privado_Privado;PH_Matriz;"160.34";;
1241415;"13513299";278;278;BOYACÁ;SOGAMOSO;2025-09-29;"095-144267";;"157590101000003500249000000000";Cancelacion_por_Englobe;;;;;;
1468586;"13513328";276;276;BOYACÁ;SOGAMOSO;2025-09-29;"095-154026";;"157590101000003500278000000000";Cancelacion_por_Englobe;;;;;;
1053218;"13513329";277;277;BOYACÁ;SOGAMOSO;2025-09-29;"095-154027";;"157590101000003500279000000000";Cancelacion_por_Englobe;;;;;;
1338518;"13514760";327;327;BOYACÁ;SOGAMOSO;2025-09-29;"095-154021";;"157590101000005620139000000000";Cambio_Numero_Predial_NPH_a_PH;"095-154021";Privado_Privado;PH_Matriz;"146,76 ";;
1209417;"13515217";108;108;BOYACÁ;SOGAMOSO;2025-09-29;"095-140213";;"157590101000005890193000000000";Cambio_Numero_Predial_NPH_a_PH;"095-140213";Privado_Privado;PH_Matriz;"84.66";;
1468932;"13515366";387;387;BOYACÁ;SOGAMOSO;2025-09-29;"095-123450";;"157590101000006240214000000000";Cancelacion_por_Desenglobe;;;;;;
1145088;"13516703";320;320;BOYACÁ;SOGAMOSO;2025-09-29;"095-150440";;"157590101000008700029000000000";Cancelacion_por_Desenglobe;;;;;;
1339061;"13518118";233;233;BOYACÁ;SOGAMOSO;2025-09-29;"095-126737";;"157590101000009480015000000000";Cancelacion_por_Desenglobe;;;;;;
1054079;"13520183";202;202;BOYACÁ;SOGAMOSO;2025-09-29;"095-141029";;"157590102000001630057000000000";Cambio_Numero_Predial_NPH_a_PH;"095-141029";Privado_Privado;PH_Matriz;"153.5";;
1438312;"13522257";95;95;BOYACÁ;SOGAMOSO;2025-09-29;"095-142985";;"157590102000004210020000000000";Cambio_Numero_Predial_NPH_a_PH;"095-142985";Privado_Privado;PH_Matriz;"89.7";;
1054352;"13522273";221;221;BOYACÁ;SOGAMOSO;2025-09-29;"095-149093";;"157590102000004240030000000000";Cancelacion_por_Desenglobe;;;;;;
1371838;"13523104";234;234;BOYACÁ;SOGAMOSO;2025-09-29;"095-105171";;"157590102000004850001000000000";Cambio_Numero_Predial_NPH_a_PH;"095-105171";Privado_Privado;PH_Matriz;"350";;
