"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente";"field15"
1642071;L5_552;552;552;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653377";Privado_Privado;NPH;"500";;;
1642072;L5_551;551;551;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653380";Privado_Privado;NPH;"500";;;
1642073;L5_550;550;550;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653373";Privado_Privado;NPH;"604.9";;;
1642074;L5_549;549;549;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653383";Privado_Privado;NPH;"374.1";;;
1642075;L5_548;548;548;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653372";Privado_Privado;NPH;"525.70000000000005";;;
1642076;L5_547;547;547;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653369";Privado_Privado;NPH;"500";;;
1642077;L5_546;546;546;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653387";Privado_Privado;NPH;"500";;;
1642078;L5_545;545;545;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653379";Privado_Privado;NPH;"500";;;
1642079;L5_544;544;544;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653366";Privado_Privado;NPH;"569.20000000000005";;;
1642080;L5_543;543;543;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653386";Privado_Privado;NPH;"500";;;
1642081;L5_542;542;542;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653385";Privado_Privado;NPH;"500";;;
1642082;L5_541;541;541;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653370";Privado_Privado;NPH;"500";;;
1642083;L5_540;540;540;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653384";Privado_Privado;NPH;"500";;;
1642084;L5_539;539;539;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653371";Privado_Privado;NPH;"500";;;
1642085;L5_538;538;538;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653356";Privado_Privado;NPH;"500";;;
1642086;L5_555;555;555;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653381";Privado_Privado;NPH;"500";;;
1642087;L5_574;574;574;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653360";Privado_Privado;NPH;"500";;;
1642088;L5_573;573;573;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653389";Privado_Privado;NPH;"500";;;
1642089;L5_572;572;572;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653388";Privado_Privado;NPH;"500";;;
1642090;L5_571;571;571;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653365";Privado_Privado;NPH;"500";;;
1642091;L5_570;570;570;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653364";Privado_Privado;NPH;"500";;;
1642092;L5_569;569;569;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653358";Privado_Privado;NPH;"500";;;
1642093;L5_568;568;568;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653357";Privado_Privado;NPH;"500";;;
1642094;L5_567;567;567;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653361";Privado_Privado;NPH;"500";;;
1642095;L5_566;566;566;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653359";Privado_Privado;NPH;"500";;;
1642096;L5_565;565;565;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653391";Privado_Privado;NPH;"500";;;
1642097;L5_564;564;564;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653362";Privado_Privado;NPH;"500";;;
1642098;L5_563;563;563;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653390";Privado_Privado;NPH;"500";;;
1642099;L5_562;562;562;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653363";Privado_Privado;NPH;"500";;;
1642100;L5_561;561;561;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-406198";;"088320004000000010419000000000";Desenglobe_Venta_Parcial;"040-653378";Privado_Privado;NPH;"500";;;
1642101;L5_509;509;509;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477294";;"088320003000000010557000000000";Desenglobe_Division_Material;"040-525384";Privado_Privado;NPH;"12457";;;
1642102;L5_510;510;510;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477294";;"088320003000000010557000000000";Desenglobe_Division_Material;"040-525383";Privado_Privado;NPH;"450.5";;;
1642103;L5_521;521;521;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477728";;"088320003000000010076000000000";Desenglobe_Division_Material;"040-635683";Privado_Privado;NPH;"74074";;;
1642104;L5_520;520;520;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477728";;"088320003000000010076000000000";Desenglobe_Division_Material;"040-635685";Privado_Privado;NPH;"11653.5";;;
1642105;L5_519;519;519;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477728";;"088320003000000010076000000000";Desenglobe_Division_Material;"040-635684";Privado_Privado;NPH;"254272.5";;;
1642106;L5_515;515;515;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542022";Privado_Privado;NPH;"770";;;
1642107;L5_516;516;516;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542021";Privado_Privado;NPH;"1000";;;
1642108;L5_517;517;517;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542027";Privado_Privado;NPH;"828";;;
1642109;L5_511;511;511;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542026";Privado_Privado;NPH;"1189";;;
1642110;L5_512;512;512;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542025";Privado_Privado;NPH;"527";;;
1642111;L5_513;513;513;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542024";Privado_Privado;NPH;"700";;;
1642112;L5_514;514;514;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542023";Privado_Privado;NPH;"720";;;
1642113;L5_497;497;497;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-498846";;"088320003000000011343000000000";Desenglobe_Division_Material;"040-632978";Privado_Privado;PH_Unidad_Predial;;;;
1642114;L5_500;500;500;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-498846";;"088320003000000011343000000000";Desenglobe_Division_Material;"040-632980";Privado_Privado;PH_Unidad_Predial;;;;
1642115;L5_499;499;499;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-498846";;"088320003000000011343000000000";Desenglobe_Division_Material;"040-632981";Privado_Privado;PH_Unidad_Predial;;;;
