"uso_id","uso_nombre","tipo_uso","destino_economico","calificacion_anexo_id","calificacion_anexo_descripcion","cantidad"
0,No especificado,CONVENCIONAL,RESIDENCIAL,,,862
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,2.00000000,"Estructura metálica; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena a regular.",11
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,3.00000000,"Estructura en madera fina; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena o regular.    ",30
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,4.00000000,"Estructura en madera común; cubierta de zinc, eternit o teja de barro; pisos en tierra; conservación regular o mala",32
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,6.00000000,"Estructura ladrillo bloque; cubierta de zinc, eternit o teja de barro semimuros en bloque o ladrillo; pisos en cemento; conservación general buena o regular.",1
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,7.00000000,"Estructura en ladrillo o bloque; cubierta de zinc, eternit o teja de barro; con o sin muros; pisos en tierra; conservación regular mala.",1
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,8.00000000,Estructura en madera;  cubierta de zinc; eternit o teja de barro; con o sin muros; pisos en tierra; conservación regular o mala.,2
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,10.00000000,"Estructura en bloque o ladrillo; cubierta de zinc, eternit o tejas de barro muros en bloque o ladrillo, pisos de cemento, conservación en genera buena o regular.",4
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,15.00000000,"Estructura en ladrillo; cubierta de zinc, eternit, o teja de barro; con muros o sin muros; pisos en tierra; conservación regular a mala.",2
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,21.00000000,"Piscinas de tamaña mediano, enchape en azulejo, sistema  de purificación rudimentario, comunes en fincas de recreo  o centros de recreación",1
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,33.00000000,"Estructura en bloque o ladrillo cubierta en zinc, teja de barro o paja; estado de conservación general bueno.",2
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,34.00000000,Estructura metálica; todo tipo de cubiertas; piso en cemento; estado de conservación bueno a regular.,1
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,40.00000000,"Estructura metálica o de madera aserrada, formado por cuatro varales, pisos en cemento y conservación buena.",4
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,50.00000000,"Altura entre 3 y 9 Mts., longitud 25  a 75 Mts.  Estructura y soportes en concreto o metálica.  Incluye piscina de acceso y sistema de bombeo y purificación.    ",1
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,54.00000000,Estructura metálica; cubierta cristalita o vidrio; piso en baldosa común,2
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,55.00000000,Estructura metálica; cubierta de eternit y piso en cemento,1
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,60.00000000,Sin descripción asociada,6
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,66.00000000,Cimientos y estructura soportes verticales(columnas) y horizontales(vigas) destinados a sostener la totalidad o parte de una futura construcción o edificación acompañados de muros y placas base.,9
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,67.00000000,Cimentación y estructura con soportes verticales(columnas) y horizontales(vigas) destinados a sostener la totalidad o parte de una futura construcción o edificación acompañados de muros o placas base.,2
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,68.00000000,Cimentación sin estructura destinada a sostener la totalidad o parte de una futura construcción o edificación acompañados de muros o placas base.,2
1,VIVIENDA HASTA 3 PISOS,CONVENCIONAL,RESIDENCIAL,,,265467
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,1.00000000,"Locales- venta de vehículos:  Estructura concreto, cubierta cercha metálica y teja canaleta; fachada vidrio y polarizado, piso baldosín conservación general buena.",31
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,2.00000000,"Estructura metálica; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena a regular.",1266
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,3.00000000,"Estructura en madera fina; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena o regular.    ",17673
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,4.00000000,"Estructura en madera común; cubierta de zinc, eternit o teja de barro; pisos en tierra; conservación regular o mala",23611
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,6.00000000,"Estructura ladrillo bloque; cubierta de zinc, eternit o teja de barro semimuros en bloque o ladrillo; pisos en cemento; conservación general buena o regular.",2
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,7.00000000,"Estructura en ladrillo o bloque; cubierta de zinc, eternit o teja de barro; con o sin muros; pisos en tierra; conservación regular mala.",1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,10.00000000,"Estructura en bloque o ladrillo; cubierta de zinc, eternit o tejas de barro muros en bloque o ladrillo, pisos de cemento, conservación en genera buena o regular.",2
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,11.00000000,"Estructura en ladrillo; cubierta de zinc, eternit o tejas de barro muros en bloque o ladrillo, pisos en tierra, conservación regular o mala.",1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,12.00000000,"Estructura en madera cubierta de zinc, eternit o tejas de barro muros en madera, pisos en tierra, conservación regular o mala.",1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,14.00000000,"Estructura en ladrillo o bloque, cubierta de zinc, eternit o teja de barro, semimuros en bloque  o ladrillo, pisos en cemento o baldosa conservación general buena.",1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,15.00000000,"Estructura en ladrillo; cubierta de zinc, eternit, o teja de barro; con muros o sin muros; pisos en tierra; conservación regular a mala.",1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,20.00000000,Piscinas semi-olímpicas con sistemas de purificación; enchape en azulejo fino;  Se encuentra comunes en  clubes y  centros de recreación.,4
